cat_code,cat_l1_code,cat_l1,cat_l2_code,cat_l2,cat_l3_code,cat_l3,cat_l4_code,cat_l4,cat_l5
011000,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업
011001,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업
011002,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업
011003,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업
011004,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업
011005,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업
011006,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,기타 작물 재배업,기타 작물 재배업
011007,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,콩나물 재배업
011008,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업"
011009,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,기타 시설작물 재배업
012101,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,육우 사육업
012102,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,말 및 양 사육업
012103,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,"그 외 기타 축산업(사슴, 토끼, 개)"
012104,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,젖소 사육업
012201,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,양돈업,양돈업
012202,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,양계업
012203,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,기타 가금류 및 조류 사육업
012204,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,기타 축산업,그 외 기타 축산업
014300,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,축산 관련 서비스업,축산 관련 서비스업
014301,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 복합농업,0143,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업
014302,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,작물재배 지원 서비스업
014303,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업"
015000,A,"농업, 임업 및 어업",01,농업,015,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,수렵 및 관련 서비스업
020100,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,임업용 종묘 생산업
020101,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,육림업
020102,A,"농업, 임업 및 어업",02,임업,020,임업,0201,임산물 채취업,임산물 채취업
020200,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업
020300,A,"농업, 임업 및 어업",02,임업,020,임업,0203,임업 관련 서비스업,임업 관련 서비스업
051102,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,연근해 어업
051104,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,원양 어업
051200,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0512,내수면 어업,내수면 어업
052101,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,해수면 양식 어업
052103,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,내수면 양식 어업
052104,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,수산물 부화 및 수산 종자 생산업
052200,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0522,어업 관련 서비스업,어업 관련 서비스업
101000,B,광업,10,"석탄, 원유 및 천연가스 광업",101,석탄 광업,1010,석탄 광업,석탄 광업
101001,B,광업,10,비금속광물 광업; 연료용 제외,101,기타 비금속광물 광업,1010,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업
131000,B,광업,13,금속 광업,131,철 광업,1310,철 광업,철 광업
131003,B,광업,13,금속 광업,131,비철금속 광업,1310,비철금속 광업,비철금속 광업
132002,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업
132003,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업
141001,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업
141002,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,석회석 및 점토 광업,석회석 및 점토 광업
141003,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업
141004,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업
141006,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업
142101,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업
142102,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업
142104,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업
142200,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1422,천일염 생산 및 암염 채취업,천일염 생산 및 암염 채취업
142902,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1429,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업
142909,B,광업,14,"석탄, 원유 및 천연가스 광업",142,원유 및 천연가스 채굴업,1429,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업
142910,B,광업,14,광업 지원 서비스업,142,광업 지원 서비스업,1429,광업 지원 서비스업,광업 지원 서비스업
143101,B,광업,14,금속 광업,143,비철금속 광업,1431,비철금속 광업,비철금속 광업(조광권자)
143103,B,광업,14,금속 광업,143,철 광업,1431,철 광업,철 광업(조광권자)
143106,B,광업,14,"석탄, 원유 및 천연가스 광업",143,석탄 광업,1431,석탄 광업,석탄 광업(조광권자)
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,기타 비금속광물 광업,1431,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,기타 비금속광물 광업,1431,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,석회석 및 점토 광업,석회석 및 점토 광업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업
151101,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,도축업,육류 도축업(가금류 제외)
